CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
218176193020004,249604187010854,2006,72,23,19,150,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176196020004,249604187010854,2006,72,23,19,150,2,2,2006,2,0.0,13.4,1.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176199020004,249604187010854,2006,72,23,19,150,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176202020004,249604187010854,2006,72,23,19,150,4,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176194020004,249604187010854,2006,72,23,19,270,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176197020004,249604187010854,2006,72,23,19,270,2,2,2006,2,0.0,1.6,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176200020004,249604187010854,2006,72,23,19,270,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176203020004,249604187010854,2006,72,23,19,270,4,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176216020004,249604191010854,2006,72,25,3,30,1,2,2006,1,0.0,0.7,0.7,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176219020004,249604191010854,2006,72,25,3,30,2,2,2006,1,0.0,0.9,3.6,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
