CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1737553231290487,72,4,1,441097116489998,1,29590544020004,1,0.1917,2024-12-18 10:29:40,
1737553232290487,72,4,1,441097116489998,1,29590544020004,2,0.8083,2024-12-18 10:29:40,
1737553233290487,72,1,2,441097116489998,1,29590544020004,1,1.0,2024-12-18 10:29:40,
1737553234290487,72,2,2,441097116489998,1,29590544020004,1,1.0,2024-12-18 10:29:40,
1737553235290487,72,3,2,441097116489998,1,29590544020004,2,1.0,2024-12-18 10:29:40,
1737553236290487,72,4,2,441097116489998,1,29590544020004,2,1.0,2024-12-18 10:29:40,
1737553237290487,72,1,1,441097118489998,1,29590546020004,1,1.0,2024-12-18 10:29:40,
1737553238290487,72,2,1,441097118489998,1,29590546020004,1,1.0,2024-12-18 10:29:40,
1737553239290487,72,3,1,441097118489998,1,29590546020004,1,1.0,2024-12-18 10:29:40,
1737553240290487,72,4,1,441097118489998,1,29590546020004,1,1.0,2024-12-18 10:29:40,
1737562006290487,72,2,1,480540065489998,1,197190464020004,1,1.0,2024-12-18 10:36:21,
1737562007290487,72,3,1,480540065489998,1,197190464020004,1,1.0,2024-12-18 10:36:21,
1737562008290487,72,4,1,480540065489998,1,197190464020004,1,1.0,2024-12-18 10:36:21,
1737562009290487,72,1,2,480540065489998,1,197190464020004,1,1.0,2024-12-18 10:36:21,
1737562010290487,72,2,2,480540065489998,1,197190464020004,1,1.0,2024-12-18 10:36:21,
1737562011290487,72,3,2,480540065489998,1,197190464020004,1,1.0,2024-12-18 10:36:21,
1737562012290487,72,4,2,480540065489998,1,197190464020004,1,1.0,2024-12-18 10:36:21,
1737562454290487,72,1,1,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737562455290487,72,2,1,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737562456290487,72,3,1,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737562457290487,72,4,1,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737562458290487,72,1,2,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737562459290487,72,2,2,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737562460290487,72,3,2,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737562461290487,72,4,2,480540066489998,1,197190485020004,1,1.0,2024-12-18 10:36:22,
1737563134290487,72,1,1,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563135290487,72,2,1,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563136290487,72,3,1,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563137290487,72,4,1,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563138290487,72,1,2,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563139290487,72,2,2,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563140290487,72,3,2,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563141290487,72,4,2,480540067489998,1,197190505020004,1,1.0,2024-12-18 10:36:23,
1737563422290487,72,1,1,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737563423290487,72,2,1,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737563424290487,72,3,1,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737563425290487,72,4,1,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737563426290487,72,1,2,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737563427290487,72,2,2,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737563428290487,72,3,2,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737563429290487,72,4,2,480540068489998,1,197190521020004,1,1.0,2024-12-18 10:36:23,
1737562790290487,72,1,1,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562791290487,72,2,1,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562792290487,72,3,1,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562793290487,72,4,1,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562794290487,72,1,2,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562795290487,72,2,2,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562796290487,72,3,2,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562797290487,72,4,2,480540069489998,1,197190406020004,1,1.0,2024-12-18 10:36:23,
1737562278290487,72,1,1,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562279290487,72,2,1,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562280290487,72,3,1,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562281290487,72,4,1,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562282290487,72,1,2,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562283290487,72,2,2,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562284290487,72,3,2,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562285290487,72,4,2,480540070489998,1,197190426020004,1,1.0,2024-12-18 10:36:22,
1737562013290487,72,1,1,480540071489998,1,197190449020004,1,1.0,2024-12-18 10:36:21,
